127.0.0.1 - - [07/Apr/2021:22:23:45 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:24:08 +0700] "GET /spring_mvc/trang-chu HTTP/1.1" 200 4478
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:24:09 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:24:20 +0700] "GET /spring_mvc/dang-nhap HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:24:27 +0700] "POST /spring_mvc/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:24:27 +0700] "GET /spring_mvc/quan-tri/trang-chu HTTP/1.1" 200 8253
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:24:27 +0700] "GET /spring_mvc/template/admin/sweetalert/sweetalert2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:24:27 +0700] "GET /spring_mvc/template/admin/paging/jquery.twbsPagination.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:24:27 +0700] "GET /spring_mvc/template/admin/sweetalert/sweetalert2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:24:32 +0700] "GET /spring_mvc/quan-tri/nguoi-dung?page=1&limit=2 HTTP/1.1" 200 13500
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:24:32 +0700] "GET /spring_mvc/quan-tri/nguoi-dung?page=1&limit=2 HTTP/1.1" 200 13500
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:24:38 +0700] "GET /spring_mvc/quan-tri/nguoi-dung?page=3&limit=2 HTTP/1.1" 200 13502
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:24:40 +0700] "GET /spring_mvc/quan-tri/nguoi-dung?page=2&limit=2 HTTP/1.1" 200 13512
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:25:51 +0700] "GET /spring_mvc/quan-tri/nguoi-dung?page=3&limit=2 HTTP/1.1" 200 13502
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:25:53 +0700] "GET /spring_mvc/quan-tri/nguoi-dung?page=1&limit=2 HTTP/1.1" 200 13500
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:26:06 +0700] "GET /spring_mvc/thoat HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:26:06 +0700] "GET /spring_mvc/trang-chu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:26:06 +0700] "GET /spring_mvc/dang-nhap?sessionTimeout HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:26:13 +0700] "POST /spring_mvc/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:26:13 +0700] "GET /spring_mvc/quan-tri/trang-chu HTTP/1.1" 200 8253
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:26:18 +0700] "GET /spring_mvc/quan-tri/nguoi-dung?page=1&limit=2 HTTP/1.1" 200 13500
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:26:24 +0700] "GET /spring_mvc/quan-tri/bai-viet/danh-sach?page=1&limit=2 HTTP/1.1" 200 11711
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:28:10 +0700] "GET /spring_mvc/quan-tri/bai-viet/danh-sach?page=2&limit=2 HTTP/1.1" 200 11711
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:28:13 +0700] "GET /spring_mvc/quan-tri/nguoi-dung?page=1&limit=2 HTTP/1.1" 200 13500
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:28:15 +0700] "GET /spring_mvc/quan-tri/nguoi-dung?page=2&limit=2 HTTP/1.1" 200 13512
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:28:16 +0700] "GET /spring_mvc/quan-tri/nguoi-dung?page=3&limit=2 HTTP/1.1" 200 13502
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:28:18 +0700] "GET /spring_mvc/quan-tri/nguoi-dung?page=2&limit=2 HTTP/1.1" 200 13512
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:28:19 +0700] "GET /spring_mvc/quan-tri/nguoi-dung?page=1&limit=2 HTTP/1.1" 200 13500
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:28:28 +0700] "GET /spring_mvc/quan-tri/nguoi-dung/chinh-sua?id=2 HTTP/1.1" 200 12321
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:28:40 +0700] "GET /spring_mvc/quan-tri/nguoi-dung?page=2&limit=2 HTTP/1.1" 200 13512
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:28:42 +0700] "GET /spring_mvc/quan-tri/nguoi-dung?page=3&limit=2 HTTP/1.1" 200 13502
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:28:43 +0700] "GET /spring_mvc/quan-tri/nguoi-dung/chinh-sua HTTP/1.1" 200 12248
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:28:52 +0700] "GET /spring_mvc/quan-tri/nguoi-dung/chinh-sua HTTP/1.1" 200 12248
0:0:0:0:0:0:0:1 - - [07/Apr/2021:22:29:01 +0700] "GET /spring_mvc/thoat HTTP/1.1" 302 -
